doc_id,pb_folder,source_folder,language,language_confidence,abstract_length,clean_abstract_length,file_name
b39624d6c38a,1 - Climate Change,No SDG,en,0.999995768467437,1062,1062,The role of hydrological modelling uncertainties in climate change impact assessments of Irish river catchments.pdf
d7b8d727bf7f,1 - Climate Change,No SDG,en,0.9999978148276928,1530,1530,Residential Water Scarcity in Cyprus_ Impact of Climate Change and Policy Options.pdf
98b2994454de,1 - Climate Change,SDG14,en,0.9999955840388218,1465,1465,Determination of the optimum MM5 configuration for long term CMAQ simulations of aerosol bound pollutants in Europe.pdf
36709684add1,1 - Climate Change,No SDG,en,0.9999962641810624,1229,1229,Climate Change Adaptation and Resilience through Big Data.pdf
78da21206ecf,1 - Climate Change,No SDG,en,0.9999982390615284,1057,1057,Coupled simulations of Greenland Ice Sheet and climate change up to A.D. 2300.pdf
d76008c84359,1 - Climate Change,SDG14,en,0.9999970062227036,2303,2303,On the Specification of Upward-Propagating Tides for ICON Science Investigations.pdf
93373d6e7b19,1 - Climate Change,No SDG,en,0.999997778504304,2526,2526,Gender Specific Reproductive Strategies of an Arctic Key Species (Boreogadus saida) and Implications of Climate Change.pdf
29debbd71958,1 - Climate Change,SDG10,en,0.9999973419328114,611,611,The Artist is Absent_ Non-Human Agency in the Situation of the Theatre _ Puuduv kunstnik_ mitte-inimese agentsus teatri kontekstis.pdf
580cb1753b80,1 - Climate Change,No SDG,en,0.9999976828108216,2941,2941,Climate Change Impact on Neotropical Social Wasps.pdf
a120afb4a1c8,1 - Climate Change,No SDG,en,0.9999978934850112,1739,1739,Long-term sustainability of large water resource systems under climate change_ A cascade modeling approach.pdf
8581e74341ad,1 - Climate Change,SDG14,en,0.999997387814176,2048,2048,"Variabilities in PM2.5 and Black Carbon Surface Concentrations Reproduced by Aerosol Optical Properties Estimated by In-Situ Data, Ground Based Remote Sensing and Modeling.pdf"
28fc0527bdb6,1 - Climate Change,No SDG,en,0.9999974192751518,966,966,Climate Change Impacts on Nutrient and Sediment Loads in a Midwestern Agricultural Watershed.pdf
03c55a425a95,1 - Climate Change,SDG13,en,0.9999950017244535,1047,1047,Weakening of the global atmospheric circulation with global warming.pdf
19351603671b,1 - Climate Change,SDG14,en,0.9999966788522654,1349,1349,The effect of mountain uplift on eastern boundary currents and upwelling systems.pdf
8d8ab7ed834f,1 - Climate Change,No SDG,en,0.9999991926788816,2047,2047,The potential impact of climate change on Australia's soil organic carbon resources.pdf
beff7875a219,1 - Climate Change,SDG7,en,0.999997028315778,1355,1355,Using Observed and Modelled Heat Fluxes for Improved Extrapolation of Wind Distributions.pdf
b6a915f0d851,1 - Climate Change,SDG14,en,0.9999980737844536,1476,1476,The Teleconnection between the Western Indian and the Western Pacific Oceans.pdf
9de7c20cae29,1 - Climate Change,SDG10,en,0.9999977732527308,1333,1333,The Yi-Jing Cosmic Model_ With an Application of an Alternative to Neoliberalism.pdf
7eeabf2d3241,1 - Climate Change,No SDG,en,0.99999714206139,523,523,The response of the Greenland ice sheet to climate changes in the 21st century by interactive coupling of an AOGCM with a thermomechanical ice-sheet model.pdf
6886331b8e6b,1 - Climate Change,No SDG,en,0.9999955754082308,883,883,Climate Change and Cerebrospinal Meningitis in the Ghanaian Meningitis Belt.pdf
ce913c076934,1 - Climate Change,SDG14,en,0.9999954417754672,946,946,Possible mechanisms of summer cirrus clouds over the Tibetan Plateau.pdf
1740ef2090f3,1 - Climate Change,SDG4,en,0.9999973800470072,1258,1258,Education for Religion_ An Islamic Perspective.pdf
3fe336e617f1,1 - Climate Change,SDG11,en,0.9999956882137676,830,830,Shifting forward_ Urban ecology in perspective.pdf
