doc_id,pb_folder,source_folder,file_name,remote_path
f529304c0629,1 - Climate Change,SDG15,The influence of landscape change on multiple dimensions of human–nature connectedness.pdf,1 - Climate Change/SDG15/The influence of landscape change on multiple dimensions of human–nature connectedness.pdf
6154981a27dc,1 - Climate Change,SDG11,Retrieving tropospheric NO<sub>2<_sub> vertical column densities around the city of Beijing and estimating NO<sub><i>x<_i><_sub> emissions based on car MAX-DOAS measurements.pdf,1 - Climate Change/SDG11/Retrieving tropospheric NO<sub>2<_sub> vertical column densities around the city of Beijing and estimating NO<sub><i>x<_i><_sub> emissions based on car MAX-DOAS measurements.pdf
a1dfdddcd801,2 - Ocean Acidification,No SDG,Physiological response of a golden tide alga (<i>Sargassum muticum<_i>) to the interaction of ocean acidification and phosphorus enrichment.pdf,2 - Ocean Acidification/No SDG/Physiological response of a golden tide alga (<i>Sargassum muticum<_i>) to the interaction of ocean acidification and phosphorus enrichment.pdf
a7412132fa95,2 - Ocean Acidification,No SDG,"The Arctic Ocean marine carbon cycle_ evaluation of air-sea CO<sub>2<_sub> exchanges, ocean acidification impacts and potential feedbacks.pdf","2 - Ocean Acidification/No SDG/The Arctic Ocean marine carbon cycle_ evaluation of air-sea CO<sub>2<_sub> exchanges, ocean acidification impacts and potential feedbacks.pdf"
2ed2165bcfc8,2 - Ocean Acidification,No SDG,CO<sub>2<_sub> maximum in the oxygen minimum zone (OMZ).pdf,2 - Ocean Acidification/No SDG/temp_batch/CO<sub>2<_sub> maximum in the oxygen minimum zone (OMZ).pdf
73b4e79169fc,2 - Ocean Acidification,No SDG,Deformities in larvae and juvenile European lobster (<i>Homarus gammarus<_i>) exposed to lower pH at two different temperatures.pdf,2 - Ocean Acidification/No SDG/Deformities in larvae and juvenile European lobster (<i>Homarus gammarus<_i>) exposed to lower pH at two different temperatures.pdf
9a61dd01e4c8,3 - Stratospheric Ozone Depletion,No SDG,Investigating the yield of H<sub>2<_sub>O and H<sub>2<_sub> from methane oxidation in the stratosphere.pdf,3 - Stratospheric Ozone Depletion/No SDG/Investigating the yield of H<sub>2<_sub>O and H<sub>2<_sub> from methane oxidation in the stratosphere.pdf
2a9193a32b5c,3 - Stratospheric Ozone Depletion,No SDG,Impacts of global NO<sub><i>x<_i><_sub> inversions on NO<sub>2<_sub> and ozone simulations.pdf,3 - Stratospheric Ozone Depletion/No SDG/Impacts of global NO<sub><i>x<_i><_sub> inversions on NO<sub>2<_sub> and ozone simulations.pdf
e33a9f68417e,3 - Stratospheric Ozone Depletion,No SDG,Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf,3 - Stratospheric Ozone Depletion/No SDG/Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf
0502b705838c,4 - Biogeochemical Flows,No SDG,"Long-term spatial and temporal variation of CO<sub>2<_sub> partial pressure in the Yellow River, China.pdf","4 - Biogeochemical Flows/No SDG/Long-term spatial and temporal variation of CO<sub>2<_sub> partial pressure in the Yellow River, China.pdf"
