pb_a,pb_b,similarity
1 - Climate Change,2 - Ocean Acidification,0.32292384918639305
4 - Biogeochemical Flows,5 - Global Freshwater Use,0.2356370753160156
2 - Ocean Acidification,4 - Biogeochemical Flows,0.20740102834043503
1 - Climate Change,5 - Global Freshwater Use,0.18391251570807768
1 - Climate Change,6 - Land System Change,0.16851865497302396
4 - Biogeochemical Flows,6 - Land System Change,0.15341772604075898
5 - Global Freshwater Use,6 - Land System Change,0.12931909941692235
2 - Ocean Acidification,5 - Global Freshwater Use,0.12211014386482823
4 - Biogeochemical Flows,9 - Atmospheric Aerosol Loading,0.09360524247799695
1 - Climate Change,4 - Biogeochemical Flows,0.09079575607128748
6 - Land System Change,7 - Biosphere Integrity,0.08284122534485266
2 - Ocean Acidification,7 - Biosphere Integrity,0.06729428313378626
5 - Global Freshwater Use,8 - Novel Entities,0.06297228224762069
1 - Climate Change,3 - Stratospheric Ozone Depletion,0.05782375775715545
3 - Stratospheric Ozone Depletion,5 - Global Freshwater Use,0.05683164966459422
2 - Ocean Acidification,6 - Land System Change,0.04789715073818474
5 - Global Freshwater Use,7 - Biosphere Integrity,0.04558078149086386
3 - Stratospheric Ozone Depletion,9 - Atmospheric Aerosol Loading,0.03413915623514047
3 - Stratospheric Ozone Depletion,6 - Land System Change,0.03379373953310108
3 - Stratospheric Ozone Depletion,8 - Novel Entities,0.03309680522559463
1 - Climate Change,8 - Novel Entities,0.031252313078102875
3 - Stratospheric Ozone Depletion,7 - Biosphere Integrity,0.0
2 - Ocean Acidification,9 - Atmospheric Aerosol Loading,0.0
2 - Ocean Acidification,8 - Novel Entities,0.0
1 - Climate Change,9 - Atmospheric Aerosol Loading,0.0
1 - Climate Change,7 - Biosphere Integrity,0.0
2 - Ocean Acidification,3 - Stratospheric Ozone Depletion,0.0
3 - Stratospheric Ozone Depletion,4 - Biogeochemical Flows,0.0
4 - Biogeochemical Flows,8 - Novel Entities,0.0
4 - Biogeochemical Flows,7 - Biosphere Integrity,0.0
5 - Global Freshwater Use,9 - Atmospheric Aerosol Loading,0.0
6 - Land System Change,8 - Novel Entities,0.0
6 - Land System Change,9 - Atmospheric Aerosol Loading,0.0
7 - Biosphere Integrity,8 - Novel Entities,0.0
7 - Biosphere Integrity,9 - Atmospheric Aerosol Loading,0.0
8 - Novel Entities,9 - Atmospheric Aerosol Loading,0.0
