term,count
climate change,218
land cover,53
ocean acidification,52
boundary layer,35
united states,32
organic matter,32
air quality,31
primary production,30
organic carbon,29
global climate,29
ecosystem services,29
remote sensing,28
biomass burning,28
sustainable development,27
aerosol optical,25
radiative forcing,23
greenhouse gas,22
global warming,22
earth system,22
optical depth,21
human health,21
resale republication,21
republication permitted,21
permitted written,21
written consent,21
consent publisher,21
black carbon,20
chemical composition,20
southern hemisphere,20
water column,19
global mean,19
organic aerosol,19
aerosol cloud,19
northern hemisphere,18
north atlantic,18
water resources,17
level rise,17
north america,17
dissolved organic,17
plos editor,16
preparation manuscript,16
surface temperature,16
stratospheric ozone,16
coral reefs,16
coral reef,16
mar ecol,16
ecol prog,16
ozone depletion,16
aerosol loading,16
funders role,15
