term,count
climate,447
aerosol,393
change,383
water,374
global,369
changes,302
ozone,271
ocean,267
land,257
species,252
carbon,230
surface,227
atmospheric,215
environmental,206
system,194
emissions,192
effects,186
systems,174
conditions,171
production,169
marine,168
human,164
temperature,161
increase,160
scale,158
cloud,158
university,156
organic,153
region,151
concentrations,149
areas,143
management,141
processes,140
ice,140
soil,137
level,137
air,134
increased,129
development,129
effect,128
range,128
impact,125
ecosystems,124
compared,122
spatial,120
ecosystem,119
ecological,119
period,118
understanding,118
higher,117
