pb_folder,term,doc_frequency
1 - Climate Change,climate,47
1 - Climate Change,change,47
1 - Climate Change,changes,26
1 - Climate Change,world,22
1 - Climate Change,current,21
1 - Climate Change,global,21
1 - Climate Change,recent,20
1 - Climate Change,temperature,17
1 - Climate Change,variability,17
1 - Climate Change,regions,17
1 - Climate Change,impact,16
1 - Climate Change,water,15
1 - Climate Change,long,15
1 - Climate Change,environmental,15
1 - Climate Change,surface,15
1 - Climate Change,economic,15
1 - Climate Change,scale,14
1 - Climate Change,term,14
1 - Climate Change,increase,14
1 - Climate Change,years,14
1 - Climate Change,impacts,14
1 - Climate Change,knowledge,14
1 - Climate Change,human,14
1 - Climate Change,response,14
1 - Climate Change,level,14
1 - Climate Change,role,13
1 - Climate Change,use,13
1 - Climate Change,region,13
1 - Climate Change,social,13
1 - Climate Change,ocean,13
1 - Climate Change,range,13
1 - Climate Change,energy,13
1 - Climate Change,large,13
1 - Climate Change,observed,13
1 - Climate Change,development,13
1 - Climate Change,sustainable,12
1 - Climate Change,observations,12
1 - Climate Change,strategies,12
1 - Climate Change,atmosphere,12
1 - Climate Change,simulations,12
1 - Climate Change,conditions,12
1 - Climate Change,time,12
1 - Climate Change,sea,12
1 - Climate Change,need,12
1 - Climate Change,increased,12
1 - Climate Change,related,11
1 - Climate Change,processes,11
1 - Climate Change,compared,11
1 - Climate Change,spatial,11
1 - Climate Change,distribution,11
1 - Climate Change,ecological,11
1 - Climate Change,particular,11
1 - Climate Change,systems,11
1 - Climate Change,land,11
1 - Climate Change,area,11
1 - Climate Change,issues,10
1 - Climate Change,scenarios,10
1 - Climate Change,provide,10
1 - Climate Change,information,10
1 - Climate Change,effects,10
1 - Climate Change,circulation,10
1 - Climate Change,day,10
1 - Climate Change,atmospheric,10
1 - Climate Change,key,10
1 - Climate Change,growth,10
1 - Climate Change,sustainability,10
1 - Climate Change,better,10
1 - Climate Change,ing,10
1 - Climate Change,assessment,9
1 - Climate Change,value,9
1 - Climate Change,effect,9
1 - Climate Change,state,9
1 - Climate Change,set,9
1 - Climate Change,mean,9
1 - Climate Change,general,9
1 - Climate Change,boundary,9
1 - Climate Change,expected,9
1 - Climate Change,evidence,9
1 - Climate Change,food,9
1 - Climate Change,terms,9
2 - Ocean Acidification,ocean,46
2 - Ocean Acidification,marine,37
2 - Ocean Acidification,change,34
2 - Ocean Acidification,climate,27
2 - Ocean Acidification,species,26
2 - Ocean Acidification,changes,25
2 - Ocean Acidification,conditions,24
2 - Ocean Acidification,effects,22
2 - Ocean Acidification,water,22
2 - Ocean Acidification,global,21
2 - Ocean Acidification,key,20
2 - Ocean Acidification,acidification,20
2 - Ocean Acidification,ecosystems,19
2 - Ocean Acidification,reef,19
2 - Ocean Acidification,sea,18
2 - Ocean Acidification,rates,18
2 - Ocean Acidification,carbon,18
2 - Ocean Acidification,coastal,18
2 - Ocean Acidification,environmental,18
2 - Ocean Acidification,ecosystem,17
2 - Ocean Acidification,production,17
2 - Ocean Acidification,journal,17
2 - Ocean Acidification,increase,16
2 - Ocean Acidification,responses,16
2 - Ocean Acidification,understanding,16
2 - Ocean Acidification,dynamics,16
2 - Ocean Acidification,open,16
2 - Ocean Acidification,access,16
2 - Ocean Acidification,temperature,16
2 - Ocean Acidification,cation,15
2 - Ocean Acidification,including,15
2 - Ocean Acidification,affect,15
2 - Ocean Acidification,coral,15
2 - Ocean Acidification,published,15
2 - Ocean Acidification,increasing,14
2 - Ocean Acidification,suggest,14
2 - Ocean Acidification,levels,14
2 - Ocean Acidification,current,14
2 - Ocean Acidification,impacts,14
2 - Ocean Acidification,carbonate,14
2 - Ocean Acidification,environment,14
2 - Ocean Acidification,distribution,14
2 - Ocean Acidification,use,14
2 - Ocean Acidification,community,14
2 - Ocean Acidification,surface,14
2 - Ocean Acidification,organisms,13
2 - Ocean Acidification,words,13
2 - Ocean Acidification,received,13
2 - Ocean Acidification,effect,13
2 - Ocean Acidification,processes,12
2 - Ocean Acidification,exposed,12
2 - Ocean Acidification,waters,12
2 - Ocean Acidification,growth,12
2 - Ocean Acidification,elevated,12
2 - Ocean Acidification,concentrations,12
2 - Ocean Acidification,communities,12
2 - Ocean Acidification,area,12
2 - Ocean Acidification,nutrient,12
2 - Ocean Acidification,warming,12
2 - Ocean Acidification,atmospheric,11
2 - Ocean Acidification,acidi,11
2 - Ocean Acidification,available,11
2 - Ocean Acidification,addition,11
2 - Ocean Acidification,impact,11
2 - Ocean Acidification,increased,11
2 - Ocean Acidification,term,11
2 - Ocean Acidification,publisher,11
2 - Ocean Acidification,seawater,11
2 - Ocean Acidification,higher,11
2 - Ocean Acidification,reefs,11
2 - Ocean Acidification,role,11
2 - Ocean Acidification,level,11
2 - Ocean Acidification,accepted,11
2 - Ocean Acidification,limited,11
2 - Ocean Acidification,science,11
2 - Ocean Acidification,expected,10
2 - Ocean Acidification,range,10
2 - Ocean Acidification,driven,10
2 - Ocean Acidification,rate,10
2 - Ocean Acidification,consequences,10
3 - Stratospheric Ozone Depletion,ozone,42
3 - Stratospheric Ozone Depletion,atmospheric,37
3 - Stratospheric Ozone Depletion,global,31
3 - Stratospheric Ozone Depletion,chemistry,27
3 - Stratospheric Ozone Depletion,climate,27
3 - Stratospheric Ozone Depletion,air,26
3 - Stratospheric Ozone Depletion,changes,25
3 - Stratospheric Ozone Depletion,stratospheric,25
3 - Stratospheric Ozone Depletion,time,24
3 - Stratospheric Ozone Depletion,lower,22
3 - Stratospheric Ozone Depletion,stratosphere,21
3 - Stratospheric Ozone Depletion,surface,21
3 - Stratospheric Ozone Depletion,change,21
3 - Stratospheric Ozone Depletion,atmos,21
3 - Stratospheric Ozone Depletion,rate,19
3 - Stratospheric Ozone Depletion,observed,19
3 - Stratospheric Ozone Depletion,emissions,18
3 - Stratospheric Ozone Depletion,transport,18
3 - Stratospheric Ozone Depletion,processes,18
3 - Stratospheric Ozone Depletion,impact,18
3 - Stratospheric Ozone Depletion,chem,18
3 - Stratospheric Ozone Depletion,range,18
3 - Stratospheric Ozone Depletion,observations,18
3 - Stratospheric Ozone Depletion,increase,18
3 - Stratospheric Ozone Depletion,total,18
3 - Stratospheric Ozone Depletion,large,17
3 - Stratospheric Ozone Depletion,gas,17
3 - Stratospheric Ozone Depletion,polar,17
3 - Stratospheric Ozone Depletion,mean,17
3 - Stratospheric Ozone Depletion,signi,17
3 - Stratospheric Ozone Depletion,increased,16
3 - Stratospheric Ozone Depletion,environmental,16
3 - Stratospheric Ozone Depletion,effects,15
3 - Stratospheric Ozone Depletion,use,15
3 - Stratospheric Ozone Depletion,conditions,15
3 - Stratospheric Ozone Depletion,phys,15
3 - Stratospheric Ozone Depletion,temperature,15
3 - Stratospheric Ozone Depletion,measurements,14
3 - Stratospheric Ozone Depletion,distribution,14
3 - Stratospheric Ozone Depletion,atmosphere,14
3 - Stratospheric Ozone Depletion,increasing,14
3 - Stratospheric Ozone Depletion,simulations,14
3 - Stratospheric Ozone Depletion,solar,14
3 - Stratospheric Ozone Depletion,period,14
3 - Stratospheric Ozone Depletion,emission,13
3 - Stratospheric Ozone Depletion,values,13
3 - Stratospheric Ozone Depletion,greenhouse,13
3 - Stratospheric Ozone Depletion,layer,13
3 - Stratospheric Ozone Depletion,compared,13
3 - Stratospheric Ozone Depletion,related,13
3 - Stratospheric Ozone Depletion,aerosol,13
3 - Stratospheric Ozone Depletion,region,13
3 - Stratospheric Ozone Depletion,chemical,13
3 - Stratospheric Ozone Depletion,trends,13
3 - Stratospheric Ozone Depletion,correspondence,13
3 - Stratospheric Ozone Depletion,associated,13
3 - Stratospheric Ozone Depletion,level,13
3 - Stratospheric Ozone Depletion,mixing,13
3 - Stratospheric Ozone Depletion,ing,13
3 - Stratospheric Ozone Depletion,increases,13
3 - Stratospheric Ozone Depletion,year,13
3 - Stratospheric Ozone Depletion,scale,12
3 - Stratospheric Ozone Depletion,production,12
3 - Stratospheric Ozone Depletion,water,12
3 - Stratospheric Ozone Depletion,better,12
3 - Stratospheric Ozone Depletion,sea,12
3 - Stratospheric Ozone Depletion,role,12
3 - Stratospheric Ozone Depletion,regions,12
3 - Stratospheric Ozone Depletion,hemisphere,12
3 - Stratospheric Ozone Depletion,years,12
3 - Stratospheric Ozone Depletion,depletion,12
3 - Stratospheric Ozone Depletion,tion,11
3 - Stratospheric Ozone Depletion,net,11
3 - Stratospheric Ozone Depletion,reduction,11
3 - Stratospheric Ozone Depletion,spheric,11
3 - Stratospheric Ozone Depletion,compounds,11
3 - Stratospheric Ozone Depletion,species,11
3 - Stratospheric Ozone Depletion,rst,11
3 - Stratospheric Ozone Depletion,formation,11
3 - Stratospheric Ozone Depletion,radiation,11
4 - Biogeochemical Flows,water,38
4 - Biogeochemical Flows,biogeochemical,30
4 - Biogeochemical Flows,time,26
4 - Biogeochemical Flows,surface,24
4 - Biogeochemical Flows,carbon,24
4 - Biogeochemical Flows,ocean,23
4 - Biogeochemical Flows,key,21
4 - Biogeochemical Flows,organic,21
4 - Biogeochemical Flows,changes,20
4 - Biogeochemical Flows,global,20
4 - Biogeochemical Flows,processes,19
4 - Biogeochemical Flows,waters,19
4 - Biogeochemical Flows,marine,18
4 - Biogeochemical Flows,matter,17
4 - Biogeochemical Flows,climate,17
4 - Biogeochemical Flows,soil,16
4 - Biogeochemical Flows,microbial,16
4 - Biogeochemical Flows,higher,16
4 - Biogeochemical Flows,distribution,16
4 - Biogeochemical Flows,use,16
4 - Biogeochemical Flows,concentrations,16
4 - Biogeochemical Flows,ecosystems,15
4 - Biogeochemical Flows,areas,15
4 - Biogeochemical Flows,open,15
4 - Biogeochemical Flows,effects,15
4 - Biogeochemical Flows,large,15
4 - Biogeochemical Flows,deep,14
4 - Biogeochemical Flows,dissolved,14
4 - Biogeochemical Flows,environmental,14
4 - Biogeochemical Flows,change,14
4 - Biogeochemical Flows,coastal,14
4 - Biogeochemical Flows,community,14
4 - Biogeochemical Flows,main,13
4 - Biogeochemical Flows,physical,13
4 - Biogeochemical Flows,including,13
4 - Biogeochemical Flows,coupled,13
4 - Biogeochemical Flows,ecosystem,13
4 - Biogeochemical Flows,despite,13
4 - Biogeochemical Flows,systems,13
4 - Biogeochemical Flows,major,13
4 - Biogeochemical Flows,cycles,12
4 - Biogeochemical Flows,factors,12
4 - Biogeochemical Flows,conditions,12
4 - Biogeochemical Flows,temperature,12
4 - Biogeochemical Flows,nitrogen,12
4 - Biogeochemical Flows,rates,12
