doc_id,remote_path,file_name,pb_folder,source_folder
74e4bbf12f47,"3 - Stratospheric Ozone Depletion/SDG14/The 2009–2010 Arctic stratospheric winter – general evolution, mountain waves and predictability of an operational weather forecast model.pdf","The 2009–2010 Arctic stratospheric winter – general evolution, mountain waves and predictability of an operational weather forecast model.pdf",3 - Stratospheric Ozone Depletion,SDG14
184c3d5af70b,6 - Land System Change/No SDG/temp_batch/Impacts Of Land Use Change On Water Basin Using Remote Sensing And Geographical Information System.pdf,Impacts Of Land Use Change On Water Basin Using Remote Sensing And Geographical Information System.pdf,6 - Land System Change,No SDG
2f8e26e7341c,2 - Ocean Acidification/No SDG/temp_batch/Ocean futures_ Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway.pdf,Ocean futures_ Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway.pdf,2 - Ocean Acidification,No SDG
bd1e2e329cc4,3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Limited options for low-global-warming-potential refrigerants.pdf,Limited options for low-global-warming-potential refrigerants.pdf,3 - Stratospheric Ozone Depletion,No SDG
aa550e538cfc,8 - Novel Entities/No SDG/temp_batch/3D geographic network displays.pdf,3D geographic network displays.pdf,8 - Novel Entities,No SDG
1f22b9261503,8 - Novel Entities/No SDG/Podocytic infolding in Schimke immuno-osseous dysplasia with novel SMARCAL1 mutations_ a case report.pdf,Podocytic infolding in Schimke immuno-osseous dysplasia with novel SMARCAL1 mutations_ a case report.pdf,8 - Novel Entities,No SDG
1c8c59abc16d,1 - Climate Change/No SDG/Climate change and hydropower production in the Swiss Alps_ quantification of potential impacts and related modelling uncertainties.pdf,Climate change and hydropower production in the Swiss Alps_ quantification of potential impacts and related modelling uncertainties.pdf,1 - Climate Change,No SDG
1bdd60d27e1d,"9 - Atmospheric Aerosol Loading/No SDG/Radiative and climatic effects of dust over West Africa, as simulated by a regional climate model.pdf","Radiative and climatic effects of dust over West Africa, as simulated by a regional climate model.pdf",9 - Atmospheric Aerosol Loading,No SDG
649b4b6b4333,1 - Climate Change/No SDG/Climate change effects in the Western Himalayan ecosystems of India_ evidence and strategies.pdf,Climate change effects in the Western Himalayan ecosystems of India_ evidence and strategies.pdf,1 - Climate Change,No SDG
db94e67c188f,9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Long-term trends in total inorganic nitrogen and sulfur deposition in the US from 1990 to 2010.pdf,Long-term trends in total inorganic nitrogen and sulfur deposition in the US from 1990 to 2010.pdf,9 - Atmospheric Aerosol Loading,No SDG
4fe842080c56,9 - Atmospheric Aerosol Loading/No SDG/Validation of the Surface Downwelling Solar Irradiance Estimates of the HelioClim-3 Database in Egypt.pdf,Validation of the Surface Downwelling Solar Irradiance Estimates of the HelioClim-3 Database in Egypt.pdf,9 - Atmospheric Aerosol Loading,No SDG
bea2437be65e,1 - Climate Change/SDG4/Guest Editors' Introduction_ Reading Braidotti _ Reading Woolf.pdf,Guest Editors' Introduction_ Reading Braidotti _ Reading Woolf.pdf,1 - Climate Change,SDG4
e5b9a5589902,"7 - Biosphere Integrity/No SDG/Volcano and earthquake monitoring plan for the Yellowstone Caldera system, 2022–2032.pdf","Volcano and earthquake monitoring plan for the Yellowstone Caldera system, 2022–2032.pdf",7 - Biosphere Integrity,No SDG
702805048715,1 - Climate Change/No SDG/temp_batch/Do Convection-Permitting Regional Climate Models Improve Projections of Future Precipitation Change_.pdf,Do Convection-Permitting Regional Climate Models Improve Projections of Future Precipitation Change_.pdf,1 - Climate Change,No SDG
b0c79e0c5cd9,2 - Ocean Acidification/No SDG/temp_batch/Decreased feeding rates of the copepod Acartia tonsa when exposed to playback harbor traffic noise.pdf,Decreased feeding rates of the copepod Acartia tonsa when exposed to playback harbor traffic noise.pdf,2 - Ocean Acidification,No SDG
6969f81bc780,1 - Climate Change/SDG11/Measurement report_ Ammonia in Paris derived from ground-based open-path and satellite observations.pdf,Measurement report_ Ammonia in Paris derived from ground-based open-path and satellite observations.pdf,1 - Climate Change,SDG11
5fbbae0d85f0,6 - Land System Change/SDG7/temp_batch/32-Channel silicon strip detection module for combined X-ray fluorescence spectroscopy and X-ray diffractometry analysis.pdf,32-Channel silicon strip detection module for combined X-ray fluorescence spectroscopy and X-ray diffractometry analysis.pdf,6 - Land System Change,SDG7
dcca4edf10d3,1 - Climate Change/No SDG/Consequences of climate change for runoff from Alpine regions.pdf,Consequences of climate change for runoff from Alpine regions.pdf,1 - Climate Change,No SDG
a501ac367dc0,1 - Climate Change/No SDG/Climate Change And Food Security In Nepal.pdf,Climate Change And Food Security In Nepal.pdf,1 - Climate Change,No SDG
