doc_id,remote_path,file_name,pb_folder,source_folder
b39624d6c38a,1 - Climate Change/No SDG/temp_batch/The role of hydrological modelling uncertainties in climate change impact assessments of Irish river catchments.pdf,The role of hydrological modelling uncertainties in climate change impact assessments of Irish river catchments.pdf,1 - Climate Change,No SDG
6b7574b40a52,1 - Climate Change/SDG10/A representation learning framework for detection and characterization of dead versus strain localization zones from pre- to post-failure.pdf,A representation learning framework for detection and characterization of dead versus strain localization zones from pre- to post-failure.pdf,1 - Climate Change,SDG10
aba2d0d4a8f9,1 - Climate Change/SDG13/Evaluation of extreme rainfall and temperature over North America in CanRCM4 and CRCM5.pdf,Evaluation of extreme rainfall and temperature over North America in CanRCM4 and CRCM5.pdf,1 - Climate Change,SDG13
d7b8d727bf7f,1 - Climate Change/No SDG/Residential Water Scarcity in Cyprus_ Impact of Climate Change and Policy Options.pdf,Residential Water Scarcity in Cyprus_ Impact of Climate Change and Policy Options.pdf,1 - Climate Change,No SDG
98b2994454de,1 - Climate Change/SDG14/temp_batch/Determination of the optimum MM5 configuration for long term CMAQ simulations of aerosol bound pollutants in Europe.pdf,Determination of the optimum MM5 configuration for long term CMAQ simulations of aerosol bound pollutants in Europe.pdf,1 - Climate Change,SDG14
f529304c0629,1 - Climate Change/SDG15/The influence of landscape change on multiple dimensions of human–nature connectedness.pdf,The influence of landscape change on multiple dimensions of human–nature connectedness.pdf,1 - Climate Change,SDG15
84535222c154,1 - Climate Change/SDG12/The world’s road to water scarcity_ shortage and stress in the 20th century and pathways towards sustainability.pdf,The world’s road to water scarcity_ shortage and stress in the 20th century and pathways towards sustainability.pdf,1 - Climate Change,SDG12
36709684add1,1 - Climate Change/No SDG/temp_batch/Climate Change Adaptation and Resilience through Big Data.pdf,Climate Change Adaptation and Resilience through Big Data.pdf,1 - Climate Change,No SDG
78da21206ecf,1 - Climate Change/No SDG/temp_batch/Coupled simulations of Greenland Ice Sheet and climate change up to A.D. 2300.pdf,Coupled simulations of Greenland Ice Sheet and climate change up to A.D. 2300.pdf,1 - Climate Change,No SDG
a7b427c227f7,1 - Climate Change/SDG15/temp_batch/A New Tool for Separating the Magnetic Mineralogy of Complex Mineral Assemblages from Low Temperature Magnetic Behavior.pdf,A New Tool for Separating the Magnetic Mineralogy of Complex Mineral Assemblages from Low Temperature Magnetic Behavior.pdf,1 - Climate Change,SDG15
d76008c84359,1 - Climate Change/SDG14/On the Specification of Upward-Propagating Tides for ICON Science Investigations.pdf,On the Specification of Upward-Propagating Tides for ICON Science Investigations.pdf,1 - Climate Change,SDG14
ad58b1863c3b,1 - Climate Change/SDG14/temp_batch/The performance of filtered leapfrog schemes in benchmark simulations.pdf,The performance of filtered leapfrog schemes in benchmark simulations.pdf,1 - Climate Change,SDG14
d6963dd457eb,1 - Climate Change/SDG2/temp_batch/We need a sustainable consumption pattern.pdf,We need a sustainable consumption pattern.pdf,1 - Climate Change,SDG2
d1ad08c326d1,1 - Climate Change/SDG4/Introduction_ Rethinking History of Science in the Anthropocene.pdf,Introduction_ Rethinking History of Science in the Anthropocene.pdf,1 - Climate Change,SDG4
93373d6e7b19,1 - Climate Change/No SDG/Gender Specific Reproductive Strategies of an Arctic Key Species (Boreogadus saida) and Implications of Climate Change.pdf,Gender Specific Reproductive Strategies of an Arctic Key Species (Boreogadus saida) and Implications of Climate Change.pdf,1 - Climate Change,No SDG
29debbd71958,1 - Climate Change/SDG10/temp_batch/The Artist is Absent_ Non-Human Agency in the Situation of the Theatre _ Puuduv kunstnik_ mitte-inimese agentsus teatri kontekstis.pdf,The Artist is Absent_ Non-Human Agency in the Situation of the Theatre _ Puuduv kunstnik_ mitte-inimese agentsus teatri kontekstis.pdf,1 - Climate Change,SDG10
7b24d831f546,"1 - Climate Change/SDG4/temp_batch/Ingold, Tim. Anthropology and_as education. xii, 94 pp., bibliogr. London_ Routledge, 2018. £32.99 (paper).pdf","Ingold, Tim. Anthropology and_as education. xii, 94 pp., bibliogr. London_ Routledge, 2018. £32.99 (paper).pdf",1 - Climate Change,SDG4
580cb1753b80,1 - Climate Change/No SDG/Climate Change Impact on Neotropical Social Wasps.pdf,Climate Change Impact on Neotropical Social Wasps.pdf,1 - Climate Change,No SDG
a120afb4a1c8,1 - Climate Change/No SDG/Long-term sustainability of large water resource systems under climate change_ A cascade modeling approach.pdf,Long-term sustainability of large water resource systems under climate change_ A cascade modeling approach.pdf,1 - Climate Change,No SDG
933573e12633,1 - Climate Change/No SDG/Uncertainty assessment of climate change impacts on the hydrology of small prairie wetlands.pdf,Uncertainty assessment of climate change impacts on the hydrology of small prairie wetlands.pdf,1 - Climate Change,No SDG
19351603671b,1 - Climate Change/SDG14/The effect of mountain uplift on eastern boundary currents and upwelling systems.pdf,The effect of mountain uplift on eastern boundary currents and upwelling systems.pdf,1 - Climate Change,SDG14
8581e74341ad,"1 - Climate Change/SDG14/Variabilities in PM2.5 and Black Carbon Surface Concentrations Reproduced by Aerosol Optical Properties Estimated by In-Situ Data, Ground Based Remote Sensing and Modeling.pdf","Variabilities in PM2.5 and Black Carbon Surface Concentrations Reproduced by Aerosol Optical Properties Estimated by In-Situ Data, Ground Based Remote Sensing and Modeling.pdf",1 - Climate Change,SDG14
28fc0527bdb6,1 - Climate Change/No SDG/Climate Change Impacts on Nutrient and Sediment Loads in a Midwestern Agricultural Watershed.pdf,Climate Change Impacts on Nutrient and Sediment Loads in a Midwestern Agricultural Watershed.pdf,1 - Climate Change,No SDG
