doc_id;path;nombre_doc;pb_drive;1stpb;2ndpb;3rdpb;4thpb;5thpb;6thpb
d1ad08c326d1;1 - Climate Change/SDG4/Introduction_ Rethinking History of Science in the Anthropocene.pdf;Introduction_ Rethinking History of Science in the Anthropocene.pdf;1;1;7;;;;
933573e12633;1 - Climate Change/No SDG/Uncertainty assessment of climate change impacts on the hydrology of small prairie wetlands.pdf;Uncertainty assessment of climate change impacts on the hydrology of small prairie wetlands.pdf;1;1;5;;;;
8581e74341ad;1 - Climate Change/SDG14/Variabilities in PM2.5 and Black Carbon Surface Concentrations Reproduced by Aerosol Optical Properties Estimated by In-Situ Data, Ground Based Remote Sensing and Modeling.pdf;Variabilities in PM2.5 and Black Carbon Surface Concentrations Reproduced by Aerosol Optical Properties Estimated by In-Situ Data, Ground Based Remote Sensing and Modeling.pdf;1;9;1;;;;
8d8ab7ed834f;1 - Climate Change/No SDG/The potential impact of climate change on Australia's soil organic carbon resources.pdf;The potential impact of climate change on Australia's soil organic carbon resources.pdf;1;1;4;7;;;
ff6fb1e2be19;1 - Climate Change/No SDG/temp_batch/Climate Changes and Food Quality_ The Potential of Microbial Activities as Mitigating Strategies in the Wine Sector.pdf;Climate Changes and Food Quality_ The Potential of Microbial Activities as Mitigating Strategies in the Wine Sector.pdf;1;1;7;;;;
a3d6daa1a396;1 - Climate Change/SDG1/Economic and social vulnerability because of Covid-19_ poverty and food security.pdf;Economic and social vulnerability because of Covid-19_ poverty and food security.pdf;1;;;;;;
b0a263cd3ba1;1 - Climate Change/No SDG/Climate Change and Agriculture_ Subsistence Farmers’ Response to Extreme Heat.pdf;Climate Change and Agriculture_ Subsistence Farmers’ Response to Extreme Heat.pdf;1;1;6;;;;
eaf6d52d5457;1 - Climate Change/SDG13/Sensitivity of precipitation and atmospheric low-level circulation patterns to domain size and choice of parameterization schemes in RegCM4.4 over Central America.pdf;Sensitivity of precipitation and atmospheric low-level circulation patterns to domain size and choice of parameterization schemes in RegCM4.4 over Central America.pdf;1;1;5;;;;
3f271659124f;1 - Climate Change/SDG13/Introduction to the special issue_ the phase I CORDEX RegCM4 hyper-matrix (CREMA) experiment.pdf;Introduction to the special issue_ the phase I CORDEX RegCM4 hyper-matrix (CREMA) experiment.pdf;1;1;5;;;;
c21a0b99e259;1 - Climate Change/No SDG/temp_batch/Improving the validation of model-simulated crop yield response to climate change_ an application to the EPIC model.pdf;Improving the validation of model-simulated crop yield response to climate change_ an application to the EPIC model.pdf;1;1;;;;;
